"id","related","mention_id","table_id","checked"
171280,True,106396,197582,True
53949,True,34451,75549,False
176899,True,109769,204653,True
176879,True,109752,204613,True
114215,True,72676,136460,False
54437,True,34833,75751,False
52000,True,33547,73085,True
222841,True,139428,242933,False
240122,True,150940,268582,False
218781,True,136999,239438,False
47222,True,29759,69644,True
260130,True,165225,283740,False
297720,True,189743,322107,False
209781,True,131842,233942,False
20375,True,12455,18007,False
87438,False,55016,110538,True
250125,True,157884,277115,False
174788,True,108383,202452,False
301441,True,192983,324507,False
44396,True,27463,61894,False
84995,True,53095,107111,False
210711,True,132492,234450,False
185758,True,115450,213317,False
116072,True,74003,138660,False
120590,True,76190,149123,False
32321,True,19937,39086,False
52052,True,33580,73274,True
137098,True,86415,166600,False
10219,True,6245,7819,False
297952,True,189933,322334,False
280165,True,178143,303534,False
194616,False,122153,219894,True
92846,True,59140,114711,False
281496,True,179191,304250,False
135438,True,85213,165240,False
245999,True,155298,273183,True
138546,True,87498,167505,False
266542,True,169500,291818,False
217451,True,136039,238175,False
219387,True,137407,240220,False
48774,True,31042,70560,False
11159,True,6711,8433,False
217452,True,136040,238172,False
174009,True,107805,201304,False
66655,True,41144,88348,True
64721,True,39710,84551,False
135209,True,85025,165057,False
255932,True,161700,281493,False
66661,False,41149,88368,True
19,True,18,24,False
276187,True,175998,301712,False
64715,True,39715,84551,False
227330,True,141485,258378,False
241186,True,151621,269226,True
154194,True,95524,182219,False
249531,True,157514,276276,False
251504,True,158643,278330,False
268000,True,170602,293386,False
161808,True,99667,187565,False
34843,True,21192,41740,False
137657,False,86781,166815,True
152456,False,94556,180790,True
31553,True,19503,36378,False
270842,True,172089,297457,False
126454,False,79739,157908,True
177424,False,110096,205326,False
272795,True,173433,298671,False
223608,False,139954,243923,True
107228,True,67809,128136,True
161917,True,99746,187601,False
66629,False,41137,88318,True
126039,True,79555,157768,False
143767,True,90420,174154,False
230575,True,143418,262068,False
186955,True,116358,214406,False
174206,True,107955,201831,False
193440,True,121140,219122,False
190140,True,118866,217344,False
189317,True,118150,216738,False
34698,True,21095,41652,False
195873,True,123157,221115,False
55975,True,35546,76483,False
252796,True,159449,279263,False
174917,False,108466,202626,True
60823,True,38026,80600,False
138589,True,87542,167547,False
120386,True,76134,148662,False
217508,True,136071,238241,False
292427,True,186229,318210,False
25830,True,16284,22787,False
287202,True,182436,313285,False
134917,True,84795,164827,True
12525,True,7543,10711,False
50,True,46,46,True
75447,True,47176,96445,True
171902,False,106740,198896,True
272954,False,173521,298805,True
250203,True,157921,277474,False
175836,True,109042,203614,False
174089,True,107866,201559,False
174042,True,107833,201402,False
292437,True,186234,318210,False
251346,True,158505,278266,True
37145,True,22830,42791,False
267766,True,170403,293267,False
230415,False,143289,261772,True
163590,True,101096,188882,False
117695,True,74812,143240,False
266586,True,169528,292088,False
76944,True,48166,97713,False
242843,True,152924,270711,False
300083,True,191770,323681,False
14587,True,8746,11801,False
206328,True,130071,228533,True
263262,True,167383,288687,True
41623,True,25501,53141,False
231354,True,144037,262643,False
277243,True,176578,302492,False
266600,True,169541,292208,False
187098,False,116482,214508,True
91060,True,57892,113288,False
297956,True,189935,322337,False
137172,True,86471,166666,False
145385,False,91391,176377,True
74966,True,46807,96064,False
2683,True,1851,1592,False
23987,True,14953,19810,False
19042,True,11624,16743,True
260567,True,165569,284100,False
235098,True,147017,265721,True
159616,True,98274,186056,False
130990,False,82885,161120,True
230329,True,143239,261660,True
84997,True,53096,107111,True
50008,True,32026,71695,True
174018,True,107814,201318,False
175141,True,108552,202798,False
250239,True,157951,277743,False
110064,True,69731,132947,False
298922,False,190718,323123,False
227260,True,141438,258289,False
240158,True,150976,268601,False
222844,False,139435,242933,True
186379,True,115839,214140,False
16812,True,10405,14319,False
292414,True,186237,318210,False
65438,True,40280,85285,False
128769,True,81533,159398,False
144817,False,91079,175618,True
299600,True,191292,323561,False
287013,True,182357,312399,False
137170,True,86469,166659,False
18294,False,11339,15881,True
147051,True,92671,177758,False
17330,True,10803,15014,False
276209,True,176017,301872,False
74275,True,46345,95236,True
25430,True,16049,22092,False
185586,True,115364,213082,False
12523,True,7541,10711,False
266492,True,169478,291609,True
177634,True,110260,205752,True
194424,True,122003,219855,False
218809,True,137018,239619,False
174225,True,107976,201910,True
219721,True,137718,240503,False
11359,True,6797,8828,True
230423,True,143293,261772,False
179443,True,111283,208201,False
126041,True,79557,157768,True
217397,False,136014,238082,True
120439,True,76155,148850,False
230520,True,143363,261954,False
279336,True,177969,303350,False
44091,True,27330,60985,True
249567,True,157545,276317,False
11612,True,6989,9411,False
75408,True,47137,96403,True
186018,True,115596,213737,False
155410,True,96357,183254,False
231531,True,144113,262701,False
227319,True,141476,258369,False
272949,False,173516,298800,False
210454,False,132361,234325,True
270870,True,172107,297512,False
266523,True,169493,291759,False
268341,True,170892,293561,True
183621,True,114377,211010,False
182713,True,113595,210378,False
71398,True,44154,93048,False
291033,True,185112,317382,True
261022,True,165880,284470,True
238146,True,149229,267909,True
34756,True,21116,41709,False
85011,True,53108,107124,False
160886,True,99068,186871,True
249628,True,157567,276404,True
